Customer ID,Customer Name,Date of Birth,Marital Status,Date of First Purchase,Gender,Yearly Income,
SM-20320,Sean Miller,20-12-1952,S,1560556800,F,40000,"Insert into Customer values('SM-20320','Sean Miller',19348,'S',1560556800,'F',40000)"
GR-14560,Georgia Rosenberg,06-07-1993,S,1490400000,F,10000,"Insert into Customer values('GR-14560','Georgia Rosenberg',34156,'S',1490400000,'F',10000)"
TS-21370,Todd Sumrall,22-04-1986,S,1489449600,F,10000,"Insert into Customer values('TS-21370','Todd Sumrall',31524,'S',1489449600,'F',10000)"
DH-3675,Duane Huffman,14-08-1976,M,1555718400,F,20000,"Insert into Customer values('DH-3675','Duane Huffman',27986,'M',1555718400,'F',20000)"
MM-8280,Muhammed MacIntyre,16-07-1976,M,1542672000,M,20000,"Insert into Customer values('MM-8280','Muhammed MacIntyre',27957,'M',1542672000,'M',20000)"
PM-9135,Peter McVee,05-09-1974,M,1491955200,M,10000,"Insert into Customer values('PM-9135','Peter McVee',27277,'M',1491955200,'M',10000)"
GP-4740,Guy Phonely,29-06-1988,S,1441670400,F,10000,"Insert into Customer values('GP-4740','Guy Phonely',32323,'S',1441670400,'F',10000)"
AF-10870,Art Ferguson,26-10-1992,M,1536019200,M,20000,"Insert into Customer values('AF-10870','Art Ferguson',33903,'M',1536019200,'M',20000)"
TS-21505,Tony Sayre,07-03-1998,M,1456185600,M,80000,"Insert into Customer values('TS-21505','Tony Sayre',35861,'M',1456185600,'M',80000)"
BM-11575,Brendan Murry,03-05-1985,S,1421366400,F,80000,"Insert into Customer values('BM-11575','Brendan Murry',31170,'S',1421366400,'F',80000)"
AH-10030,Aaron Hawkins,23-09-2001,M,1525132800,F,80000,"Insert into Customer values('AH-10030','Aaron Hawkins',37157,'M',1525132800,'F',80000)"
AG-10495,Andrew Gjertsen,12-10-1987,S,1490572800,M,80000,"Insert into Customer values('AG-10495','Andrew Gjertsen',32062,'S',1490572800,'M',80000)"
AG-675,Anna Gayman,30-04-1974,S,1537660800,M,90000,"Insert into Customer values('AG-675','Anna Gayman',27149,'S',1537660800,'M',90000)"
SW-20755,Steven Ward,29-12-2004,M,1563667200,F,60000,"Insert into Customer values('SW-20755','Steven Ward',38350,'M',1563667200,'F',60000)"
SK-19990,Sally Knutson,25-06-1999,M,1524182400,F,70000,"Insert into Customer values('SK-19990','Sally Knutson',36336,'M',1524182400,'F',70000)"
AG-10900,Arthur Gainer,03-12-1989,S,1424217600,M,90000,"Insert into Customer values('AG-10900','Arthur Gainer',32845,'S',1424217600,'M',90000)"
AJ-960,Astrea Jones,30-07-1970,M,1468281600,M,150000,"Insert into Customer values('AJ-960','Astrea Jones',25779,'M',1468281600,'M',150000)"
MC-7275,Marc Crier,24-04-1969,M,1563321600,M,100000,"Insert into Customer values('MC-7275','Marc Crier',25317,'M',1563321600,'M',100000)"
ER-13855,Elpida Rittenbach,06-07-1981,M,1468368000,F,110000,"Insert into Customer values('ER-13855','Elpida Rittenbach',29773,'M',1468368000,'F',110000)"
EJ-13720,Ed Jacobs,20-05-1982,M,1482019200,M,170000,"Insert into Customer values('EJ-13720','Ed Jacobs',30091,'M',1482019200,'M',170000)"
DH-13675,Duane Huffman,24-07-1977,M,1554076800,F,80000,"Insert into Customer values('DH-13675','Duane Huffman',28330,'M',1554076800,'F',80000)"
HE-14800,Harold Engle,16-09-1964,M,1546905600,F,80000,"Insert into Customer values('HE-14800','Harold Engle',23636,'M',1546905600,'F',80000)"
KT-16480,Kean Thornton,16-09-1992,M,1519603200,F,90000,"Insert into Customer values('KT-16480','Kean Thornton',33863,'M',1519603200,'F',90000)"
SB-20170,Sarah Bern,12-09-1983,M,1510531200,M,110000,"Insert into Customer values('SB-20170','Sarah Bern',30571,'M',1510531200,'M',110000)"
EM-14140,Eugene Moren,07-12-2000,M,1465171200,F,110000,"Insert into Customer values('EM-14140','Eugene Moren',36867,'M',1465171200,'F',110000)"
VT-21700,Valerie Takahito,12-03-1984,S,1457136000,F,120000,"Insert into Customer values('VT-21700','Valerie Takahito',30753,'S',1457136000,'F',120000)"
JS-15880,John Stevenson,25-01-1986,M,1504828800,M,80000,"Insert into Customer values('JS-15880','John Stevenson',31437,'M',1504828800,'M',80000)"
BC-11125,Becky Castell,06-04-1970,M,1494115200,F,90000,"Insert into Customer values('BC-11125','Becky Castell',25664,'M',1494115200,'F',90000)"
NF-18595,Nicole Fjeld,19-11-1989,M,1544486400,M,110000,"Insert into Customer values('NF-18595','Nicole Fjeld',32831,'M',1544486400,'M',110000)"
RH-9600,Rob Haberlin,12-10-1970,M,1451433600,F,80000,"Insert into Customer values('RH-9600','Rob Haberlin',25853,'M',1451433600,'F',80000)"
CS-11950,Carlos Soltero,21-02-1995,M,1496448000,M,80000,"Insert into Customer values('CS-11950','Carlos Soltero',34751,'M',1496448000,'M',80000)"
CM-12235,Chris McAfee,19-11-1959,M,1504224000,M,170000,"Insert into Customer values('CM-12235','Chris McAfee',21873,'M',1504224000,'M',170000)"
LW-16825,Laurel Workman,14-07-1963,S,1556841600,F,100000,"Insert into Customer values('LW-16825','Laurel Workman',23206,'S',1556841600,'F',100000)"
RD-19585,Rob Dowd,22-12-1962,M,1503792000,F,160000,"Insert into Customer values('RD-19585','Rob Dowd',23002,'M',1503792000,'F',160000)"
BT-11680,Brian Thompson,20-01-2004,M,1542931200,M,90000,"Insert into Customer values('BT-11680','Brian Thompson',38006,'M',1542931200,'M',90000)"
MD-7860,Michael Dominguez,19-04-1964,M,1502582400,F,130000,"Insert into Customer values('MD-7860','Michael Dominguez',23486,'M',1502582400,'F',130000)"
CC-12145,Charles Crestani,29-11-1979,M,1494460800,F,90000,"Insert into Customer values('CC-12145','Charles Crestani',29188,'M',1494460800,'F',90000)"
XP-21865,Xylona Preis,29-06-1980,M,1522281600,M,80000,"Insert into Customer values('XP-21865','Xylona Preis',29401,'M',1522281600,'M',80000)"
ML-17410,Maris LaWare,07-04-2000,M,1538611200,F,90000,"Insert into Customer values('ML-17410','Maris LaWare',36623,'M',1538611200,'F',90000)"
BS-11665,Brian Stugart,31-05-1962,M,1478304000,M,90000,"Insert into Customer values('BS-11665','Brian Stugart',22797,'M',1478304000,'M',90000)"
SC-20230,Scot Coram,17-05-1951,S,1454112000,F,60000,"Insert into Customer values('SC-20230','Scot Coram',18765,'S',1454112000,'F',60000)"
QJ-19255,Quincy Jones,12-07-1950,M,1442620800,F,70000,"Insert into Customer values('QJ-19255','Quincy Jones',18456,'M',1442620800,'F',70000)"
RE-19450,Richard Eichhorn,02-01-1977,S,1429401600,F,70000,"Insert into Customer values('RE-19450','Richard Eichhorn',28127,'S',1429401600,'F',70000)"
CP-2085,Cathy Prescott,14-01-1961,S,1479254400,F,70000,"Insert into Customer values('CP-2085','Cathy Prescott',22295,'S',1479254400,'F',70000)"
JK-5730,Joe Kamberova,22-06-1965,M,1455494400,F,70000,"Insert into Customer values('JK-5730','Joe Kamberova',23915,'M',1455494400,'F',70000)"
HZ-14950,Henia Zydlo,20-06-1968,S,1535155200,M,80000,"Insert into Customer values('HZ-14950','Henia Zydlo',25009,'S',1535155200,'M',80000)"
AR-10570,Anemone Ratner,29-06-1981,M,1497398400,M,80000,"Insert into Customer values('AR-10570','Anemone Ratner',29766,'M',1497398400,'M',80000)"
EH-14005,Erica Hernandez,02-03-1976,S,1513123200,M,130000,"Insert into Customer values('EH-14005','Erica Hernandez',27821,'S',1513123200,'M',130000)"
JR-15700,Jocasta Rupert,16-01-1965,S,1422230400,M,70000,"Insert into Customer values('JR-15700','Jocasta Rupert',23758,'S',1422230400,'M',70000)"
PL-18925,Paul Lucas,03-12-1957,S,1481328000,F,80000,"Insert into Customer values('PL-18925','Paul Lucas',21157,'S',1481328000,'F',80000)"
TC-21145,Theresa Coyne,18-06-1968,S,1542758400,M,80000,"Insert into Customer values('TC-21145','Theresa Coyne',25007,'S',1542758400,'M',80000)"
DG-13300,Deirdre Greer,18-06-1963,S,1547596800,F,80000,"Insert into Customer values('DG-13300','Deirdre Greer',23180,'S',1547596800,'F',80000)"
Dl-13600,Dorris liebe,13-12-2001,M,1564531200,M,100000,"Insert into Customer values('Dl-13600','Dorris liebe',37238,'M',1564531200,'M',100000)"
NC-18415,Nathan Cano,11-05-1971,M,1433894400,M,120000,"Insert into Customer values('NC-18415','Nathan Cano',26064,'M',1433894400,'M',120000)"
EB-13930,Eric Barreto,06-02-1997,M,1548892800,F,90000,"Insert into Customer values('EB-13930','Eric Barreto',35467,'M',1548892800,'F',90000)"
CP-12085,Cathy Prescott,17-01-1978,M,1466899200,F,100000,"Insert into Customer values('CP-12085','Cathy Prescott',28507,'M',1466899200,'F',100000)"
SM-20005,Sally Matthias,22-10-1951,S,1451260800,F,80000,"Insert into Customer values('SM-20005','Sally Matthias',18923,'S',1451260800,'F',80000)"
JR-15670,Jim Radford,11-04-1968,S,1444780800,M,90000,"Insert into Customer values('JR-15670','Jim Radford',24939,'S',1444780800,'M',90000)"
DL-12925,Daniel Lacy,28-01-1955,S,1481673600,M,90000,"Insert into Customer values('DL-12925','Daniel Lacy',20117,'S',1481673600,'M',90000)"
FM-14290,Frank Merwin,02-06-2000,M,1461110400,F,110000,"Insert into Customer values('FM-14290','Frank Merwin',36679,'M',1461110400,'F',110000)"
DP-13165,David Philippe,27-06-1971,M,1515024000,F,110000,"Insert into Customer values('DP-13165','David Philippe',26111,'M',1515024000,'F',110000)"
CK-12595,Clytie Kelty,18-01-1987,M,1558915200,M,90000,"Insert into Customer values('CK-12595','Clytie Kelty',31795,'M',1558915200,'M',90000)"
CM-11830,Cari MacIntyre,06-05-1980,M,1480723200,M,90000,"Insert into Customer values('CM-11830','Cari MacIntyre',29347,'M',1480723200,'M',90000)"
PP-18955,Paul Prost,20-05-2002,M,1440720000,M,150000,"Insert into Customer values('PP-18955','Paul Prost',37396,'M',1440720000,'M',150000)"
MM-17260,Magdelene Morse,20-04-1995,M,1448064000,M,170000,"Insert into Customer values('MM-17260','Magdelene Morse',34809,'M',1448064000,'M',170000)"
ME-17320,Maria Etezadi,27-02-1961,M,1454371200,F,40000,"Insert into Customer values('ME-17320','Maria Etezadi',22339,'M',1454371200,'F',40000)"
CS-12490,Cindy Schnelling,26-09-1989,S,1540252800,M,10000,"Insert into Customer values('CS-12490','Cindy Schnelling',32777,'S',1540252800,'M',10000)"
GH-14410,Gary Hansen,26-06-1965,S,1482451200,M,20000,"Insert into Customer values('GH-14410','Gary Hansen',23919,'S',1482451200,'M',20000)"
MC-17635,Matthew Clasen,21-05-1965,S,1468281600,F,30000,"Insert into Customer values('MC-17635','Matthew Clasen',23883,'S',1468281600,'F',30000)"
LM-7065,Liz MacKendrick,29-06-1962,S,1491955200,M,60000,"Insert into Customer values('LM-7065','Liz MacKendrick',22826,'S',1491955200,'M',60000)"
AR-10510,Andrew Roberts,23-04-1962,S,1483660800,F,20000,"Insert into Customer values('AR-10510','Andrew Roberts',22759,'S',1483660800,'F',20000)"
JH-15910,Jonathan Howell,04-11-2001,S,1552867200,M,20000,"Insert into Customer values('JH-15910','Jonathan Howell',37199,'S',1552867200,'M',20000)"
DK-3375,Dennis Kane,09-09-1999,S,1546300800,M,30000,"Insert into Customer values('DK-3375','Dennis Kane',36412,'S',1546300800,'M',30000)"
EG-13900,Emily Grady,10-01-1987,M,1560297600,F,40000,"Insert into Customer values('EG-13900','Emily Grady',31787,'M',1560297600,'F',40000)"
AS-10630,Ann Steele,28-08-1965,S,1541980800,M,30000,"Insert into Customer values('AS-10630','Ann Steele',23982,'S',1541980800,'M',30000)"
CL-11890,Carl Ludwig,18-08-1953,S,1425600000,M,30000,"Insert into Customer values('CL-11890','Carl Ludwig',19589,'S',1425600000,'M',30000)"
CA-12265,Christina Anderson,13-07-1952,M,1483056000,M,40000,"Insert into Customer values('CA-12265','Christina Anderson',19188,'M',1483056000,'M',40000)"
PF-19165,Philip Fox,11-04-1954,M,1565395200,F,40000,"Insert into Customer values('PF-19165','Philip Fox',19825,'M',1565395200,'F',40000)"
DB-12970,Darren Budd,25-07-1951,M,1553558400,F,40000,"Insert into Customer values('DB-12970','Darren Budd',18834,'M',1553558400,'F',40000)"
CL-12565,Clay Ludtke,25-07-1989,S,1541980800,F,30000,"Insert into Customer values('CL-12565','Clay Ludtke',32714,'S',1541980800,'F',30000)"
MF-17665,Maureen Fritzler,18-10-1951,M,1434326400,M,40000,"Insert into Customer values('MF-17665','Maureen Fritzler',18919,'M',1434326400,'M',40000)"
IM-15055,Ionia McGrath,22-08-2005,S,1516665600,M,40000,"Insert into Customer values('IM-15055','Ionia McGrath',38586,'S',1516665600,'M',40000)"
EB-13975,Erica Bern,25-12-1957,M,1493164800,M,40000,"Insert into Customer values('EB-13975','Erica Bern',21179,'M',1493164800,'M',40000)"
AA-10315,Alex Avila,11-04-1981,S,1470873600,F,10000,"Insert into Customer values('AA-10315','Alex Avila',29687,'S',1470873600,'F',10000)"
MV-17485,Mark Van Huff,22-03-1989,S,1472688000,F,10000,"Insert into Customer values('MV-17485','Mark Van Huff',32589,'S',1472688000,'F',10000)"
JW-15955,Joni Wasserman,18-09-1953,S,1473811200,M,20000,"Insert into Customer values('JW-15955','Joni Wasserman',19620,'S',1473811200,'M',20000)"
TS-21610,Troy Staebel,06-12-1976,S,1482969600,F,20000,"Insert into Customer values('TS-21610','Troy Staebel',28100,'S',1482969600,'F',20000)"
MC-17575,Matt Collins,03-12-1993,S,1476230400,M,20000,"Insert into Customer values('MC-17575','Matt Collins',34306,'S',1476230400,'M',20000)"
JF-5415,Jennifer Ferguson,05-01-1956,M,1493078400,M,20000,"Insert into Customer values('JF-5415','Jennifer Ferguson',20459,'M',1493078400,'M',20000)"
AH-10210,Alan Hwang,16-06-1985,S,1497398400,M,30000,"Insert into Customer values('AH-10210','Alan Hwang',31214,'S',1497398400,'M',30000)"
KD-16345,Katherine Ducich,18-06-2005,S,1518393600,F,40000,"Insert into Customer values('KD-16345','Katherine Ducich',38521,'S',1518393600,'F',40000)"
PG-18895,Paul Gonzalez,13-11-1996,S,1465776000,M,40000,"Insert into Customer values('PG-18895','Paul Gonzalez',35382,'S',1465776000,'M',40000)"
HK-14890,Heather Kirkland,04-01-1980,S,1427328000,M,40000,"Insert into Customer values('HK-14890','Heather Kirkland',29224,'S',1427328000,'M',40000)"
RR-19315,Ralph Ritter,06-07-1996,S,1484956800,M,40000,"Insert into Customer values('RR-19315','Ralph Ritter',35252,'S',1484956800,'M',40000)"
HH-5010,Hilary Holden,10-10-1955,S,1553212800,F,40000,"Insert into Customer values('HH-5010','Hilary Holden',20372,'S',1553212800,'F',40000)"
SH-20635,Stefanie Holloman,03-08-1961,S,1543708800,M,40000,"Insert into Customer values('SH-20635','Stefanie Holloman',22496,'S',1543708800,'M',40000)"
AR-10825,Anthony Rawles,23-05-1954,S,1496620800,M,40000,"Insert into Customer values('AR-10825','Anthony Rawles',19867,'S',1496620800,'M',40000)"
RP-9855,Roy Phan,25-08-1956,S,1509667200,F,40000,"Insert into Customer values('RP-9855','Roy Phan',20692,'S',1509667200,'F',40000)"
LR-17035,Lisa Ryan,08-06-1965,S,1486080000,F,40000,"Insert into Customer values('LR-17035','Lisa Ryan',23901,'S',1486080000,'F',40000)"
IM-5055,Ionia McGrath,09-09-1976,S,1542931200,M,40000,"Insert into Customer values('IM-5055','Ionia McGrath',28012,'S',1542931200,'M',40000)"
CK-12325,Christine Kargatis,30-04-1992,M,1547337600,M,50000,"Insert into Customer values('CK-12325','Christine Kargatis',33724,'M',1547337600,'M',50000)"
AS-285,Alejandro Savely,23-06-1994,M,1560988800,F,40000,"Insert into Customer values('AS-285','Alejandro Savely',34508,'M',1560988800,'F',40000)"
DK-12985,Darren Koutras,04-01-1955,S,1527897600,F,60000,"Insert into Customer values('DK-12985','Darren Koutras',20093,'S',1527897600,'F',60000)"
EH-4185,Evan Henry,14-11-1979,S,1528416000,M,60000,"Insert into Customer values('EH-4185','Evan Henry',29173,'S',1528416000,'M',60000)"
ML-17395,Marina Lichtenstein,01-03-1957,S,1496102400,F,60000,"Insert into Customer values('ML-17395','Marina Lichtenstein',20880,'S',1496102400,'F',60000)"
BF-11215,Benjamin Farhat,13-10-1987,S,1443657600,F,60000,"Insert into Customer values('BF-11215','Benjamin Farhat',32063,'S',1443657600,'F',60000)"
MB-7305,Maria Bertelson,30-07-1985,M,1517961600,F,30000,"Insert into Customer values('MB-7305','Maria Bertelson',31258,'M',1517961600,'F',30000)"
CR-12580,Clay Rozendal,26-09-1968,M,1429574400,M,30000,"Insert into Customer values('CR-12580','Clay Rozendal',25107,'M',1429574400,'M',30000)"
TB-21520,Tracy Blumstein,09-03-1997,M,1516492800,M,30000,"Insert into Customer values('TB-21520','Tracy Blumstein',35498,'M',1516492800,'M',30000)"
KN-16450,Kean Nguyen,23-06-1972,S,1523145600,F,20000,"Insert into Customer values('KN-16450','Kean Nguyen',26473,'S',1523145600,'F',20000)"
HR-14770,Hallie Redmond,16-02-1976,S,1527897600,F,20000,"Insert into Customer values('HR-14770','Hallie Redmond',27806,'S',1527897600,'F',20000)"
CK-12760,Cyma Kinney,31-12-1997,M,1547856000,M,30000,"Insert into Customer values('CK-12760','Cyma Kinney',35795,'M',1547856000,'M',30000)"
RO-9780,Rose O Brian,06-12-1990,M,1507334400,F,30000,"Insert into Customer values('RO-9780','Rose O Brian',33213,'M',1507334400,'F',30000)"
EN-13780,Edward Nazzal,10-11-1966,M,1534118400,F,30000,"Insert into Customer values('EN-13780','Edward Nazzal',24421,'M',1534118400,'F',30000)"
AH-10465,Amy Hunt,17-08-1985,M,1532217600,F,40000,"Insert into Customer values('AH-10465','Amy Hunt',31276,'M',1532217600,'F',40000)"
AH-10585,Angele Hood,29-01-2004,M,1436659200,M,40000,"Insert into Customer values('AH-10585','Angele Hood',38015,'M',1436659200,'M',40000)"
RB-9435,Richard Bierner,13-02-1977,M,1565308800,M,40000,"Insert into Customer values('RB-9435','Richard Bierner',28169,'M',1565308800,'M',40000)"
AG-525,Andy Gerbode,24-01-1963,M,1484092800,F,40000,"Insert into Customer values('AG-525','Andy Gerbode',23035,'M',1484092800,'F',40000)"
AR-10345,Alex Russell,31-01-1953,M,1451433600,F,40000,"Insert into Customer values('AR-10345','Alex Russell',19390,'M',1451433600,'F',40000)"
MW-8220,Mitch Webber,07-07-1998,M,1554854400,M,80000,"Insert into Customer values('MW-8220','Mitch Webber',35983,'M',1554854400,'M',80000)"
AH-210,Alan Hwang,08-03-1997,M,1563494400,M,40000,"Insert into Customer values('AH-210','Alan Hwang',35497,'M',1563494400,'M',40000)"
TH-21235,Tiffany House,10-09-1983,M,1511222400,F,40000,"Insert into Customer values('TH-21235','Tiffany House',30569,'M',1511222400,'F',40000)"
LT-7110,Liz Thompson,03-06-2002,M,1562457600,F,40000,"Insert into Customer values('LT-7110','Liz Thompson',37410,'M',1562457600,'F',40000)"
HD-14785,Harold Dahlen,26-09-1968,M,1564185600,F,40000,"Insert into Customer values('HD-14785','Harold Dahlen',25107,'M',1564185600,'F',40000)"
MC-7575,Matt Collins,15-02-1975,M,1440892800,F,40000,"Insert into Customer values('MC-7575','Matt Collins',27440,'M',1440892800,'F',40000)"
MH-18025,Michelle Huthwaite,30-05-1964,M,1560211200,F,40000,"Insert into Customer values('MH-18025','Michelle Huthwaite',23527,'M',1560211200,'F',40000)"
CC-2475,Cindy Chapman,29-02-1992,M,1473984000,M,40000,"Insert into Customer values('CC-2475','Cindy Chapman',33663,'M',1473984000,'M',40000)"
CM-12190,Charlotte Melton,08-05-1988,M,1542326400,M,40000,"Insert into Customer values('CM-12190','Charlotte Melton',32271,'M',1542326400,'M',40000)"
RA-19915,Russell Applegate,15-09-2002,M,1547942400,F,40000,"Insert into Customer values('RA-19915','Russell Applegate',37514,'M',1547942400,'F',40000)"
MT-18070,Michelle Tran,11-11-1983,M,1438560000,F,40000,"Insert into Customer values('MT-18070','Michelle Tran',30631,'M',1438560000,'F',40000)"
JF-15415,Jennifer Ferguson,22-07-1992,M,1468108800,F,40000,"Insert into Customer values('JF-15415','Jennifer Ferguson',33807,'M',1468108800,'F',40000)"
ES-14020,Erica Smith,03-06-1980,S,1556409600,M,60000,"Insert into Customer values('ES-14020','Erica Smith',29375,'S',1556409600,'M',60000)"
CC-12685,Craig Carroll,18-11-1965,M,1509580800,M,60000,"Insert into Customer values('CC-12685','Craig Carroll',24064,'M',1509580800,'M',60000)"
IM-15070,Irene Maddox,08-11-1981,M,1547164800,M,60000,"Insert into Customer values('IM-15070','Irene Maddox',29898,'M',1547164800,'M',60000)"
DA-13450,Dianna Arnett,24-11-1977,M,1520294400,M,60000,"Insert into Customer values('DA-13450','Dianna Arnett',28453,'M',1520294400,'M',60000)"
SS-10410,Shahid Shariari,27-04-1959,S,1555718400,F,60000,"Insert into Customer values('SS-10410','Shahid Shariari',21667,'S',1555718400,'F',60000)"
BM-11650,Brian Moss,05-12-1975,M,1505779200,M,60000,"Insert into Customer values('BM-11650','Brian Moss',27733,'M',1505779200,'M',60000)"
SW-20350,Sean Wendt,22-11-1976,S,1430870400,M,60000,"Insert into Customer values('SW-20350','Sean Wendt',28086,'S',1430870400,'M',60000)"
CM-1830,Cari MacIntyre,16-03-1958,S,1465084800,M,60000,"Insert into Customer values('CM-1830','Cari MacIntyre',21260,'S',1465084800,'M',60000)"
MY-17380,Maribeth Yedwab,06-09-1992,S,1559779200,M,20000,"Insert into Customer values('MY-17380','Maribeth Yedwab',33853,'S',1559779200,'M',20000)"
MS-7830,Melanie Seite,23-06-1996,M,1543449600,F,20000,"Insert into Customer values('MS-7830','Melanie Seite',35239,'M',1543449600,'F',20000)"
HG-14965,Henry Goldwyn,20-02-1953,M,1504396800,M,30000,"Insert into Customer values('HG-14965','Henry Goldwyn',19410,'M',1504396800,'M',30000)"
DC-13285,Debra Catini,23-10-1995,M,1530576000,M,30000,"Insert into Customer values('DC-13285','Debra Catini',34995,'M',1530576000,'M',30000)"
DL-13315,Delfina Latchford,09-08-1967,M,1470960000,F,30000,"Insert into Customer values('DL-13315','Delfina Latchford',24693,'M',1470960000,'F',30000)"
JK-15370,Jay Kimmel,15-06-1967,M,1555718400,F,40000,"Insert into Customer values('JK-15370','Jay Kimmel',24638,'M',1555718400,'F',40000)"
CH-2070,Cathy Hwang,15-12-1989,S,1479081600,M,40000,"Insert into Customer values('CH-2070','Cathy Hwang',32857,'S',1479081600,'M',40000)"
MH-7440,Mark Haberlin,09-07-1950,M,1534636800,F,40000,"Insert into Customer values('MH-7440','Mark Haberlin',18453,'M',1534636800,'F',40000)"
MC-17845,Michael Chen,04-10-1976,S,1451606400,F,40000,"Insert into Customer values('MC-17845','Michael Chen',28037,'S',1451606400,'F',40000)"
PW-19030,Pauline Webber,23-02-1995,S,1478476800,M,10000,"Insert into Customer values('PW-19030','Pauline Webber',34753,'S',1478476800,'M',10000)"
BS-11590,Brendan Sweed,20-09-1953,S,1454716800,M,20000,"Insert into Customer values('BS-11590','Brendan Sweed',19622,'S',1454716800,'M',20000)"
DO-13435,Denny Ordway,16-02-2003,M,1475280000,F,20000,"Insert into Customer values('DO-13435','Denny Ordway',37668,'M',1475280000,'F',20000)"
SG-20890,Susan Gilcrest,23-12-1969,S,1518998400,F,10000,"Insert into Customer values('SG-20890','Susan Gilcrest',25560,'S',1518998400,'F',10000)"
SU-20665,Stephanie Ulpright,19-07-1976,M,1478390400,F,40000,"Insert into Customer values('SU-20665','Stephanie Ulpright',27960,'M',1478390400,'F',40000)"
JC-16105,Julie Creighton,21-03-1957,M,1558828800,M,20000,"Insert into Customer values('JC-16105','Julie Creighton',20900,'M',1558828800,'M',20000)"
TB-21190,Thomas Brumley,06-11-1983,S,1525478400,F,30000,"Insert into Customer values('TB-21190','Thomas Brumley',30626,'S',1525478400,'F',30000)"
SV-10785,Stewart Visinsky,19-03-1986,S,1461369600,M,30000,"Insert into Customer values('SV-10785','Stewart Visinsky',31490,'S',1461369600,'M',30000)"
VP-21760,Victoria Pisteka,09-04-1967,S,1427500800,M,30000,"Insert into Customer values('VP-21760','Victoria Pisteka',24571,'S',1427500800,'M',30000)"
LR-16915,Lena Radford,10-01-1992,S,1490486400,F,30000,"Insert into Customer values('LR-16915','Lena Radford',33613,'S',1490486400,'F',30000)"
TH-21550,Tracy Hopkins,13-06-1978,S,1485216000,F,10000,"Insert into Customer values('TH-21550','Tracy Hopkins',28654,'S',1485216000,'F',10000)"
TC-11145,Theresa Coyne,23-11-1989,M,1468195200,M,20000,"Insert into Customer values('TC-11145','Theresa Coyne',32835,'M',1468195200,'M',20000)"
JL-15235,Janet Lee,09-12-2000,S,1478736000,M,20000,"Insert into Customer values('JL-15235','Janet Lee',36869,'S',1478736000,'M',20000)"
RK-19300,Ralph Kennedy,17-01-1952,S,1548115200,M,20000,"Insert into Customer values('RK-19300','Ralph Kennedy',19010,'S',1548115200,'M',20000)"
CC-12670,Craig Carreira,24-04-1969,S,1459641600,M,20000,"Insert into Customer values('CC-12670','Craig Carreira',25317,'S',1459641600,'M',20000)"
DB-13555,Dorothy Badders,11-01-1976,M,1508198400,F,40000,"Insert into Customer values('DB-13555','Dorothy Badders',27770,'M',1508198400,'F',40000)"
SG-20605,Speros Goranitis,06-06-1965,M,1521504000,F,40000,"Insert into Customer values('SG-20605','Speros Goranitis',23899,'M',1521504000,'F',40000)"
MG-17890,Michael Granlund,01-02-2003,S,1564099200,F,20000,"Insert into Customer values('MG-17890','Michael Granlund',37653,'S',1564099200,'F',20000)"
MA-17560,Matt Abelman,21-01-1995,M,1492387200,M,30000,"Insert into Customer values('MA-17560','Matt Abelman',34720,'M',1492387200,'M',30000)"
CB-12025,Cassandra Brandow,13-06-1962,M,1453680000,F,30000,"Insert into Customer values('CB-12025','Cassandra Brandow',22810,'M',1453680000,'F',30000)"
DH-13075,Dave Hallsten,04-08-1957,M,1421452800,M,30000,"Insert into Customer values('DH-13075','Dave Hallsten',21036,'M',1421452800,'M',30000)"
BT-11395,Bill Tyler,27-07-1956,M,1498262400,M,30000,"Insert into Customer values('BT-11395','Bill Tyler',20663,'M',1498262400,'M',30000)"
TT-11265,Tim Taslimi,28-08-1971,S,1530576000,F,20000,"Insert into Customer values('TT-11265','Tim Taslimi',26173,'S',1530576000,'F',20000)"
TH-11235,Tiffany House,15-12-1988,S,1560902400,F,20000,"Insert into Customer values('TH-11235','Tiffany House',32492,'S',1560902400,'F',20000)"
VG-21790,Vivek Gonzalez,01-08-1954,S,1559779200,M,20000,"Insert into Customer values('VG-21790','Vivek Gonzalez',19937,'S',1559779200,'M',20000)"
NW-18400,Natalie Webber,01-07-1962,M,1553644800,M,30000,"Insert into Customer values('NW-18400','Natalie Webber',22828,'M',1553644800,'M',30000)"
VP-21730,Victor Preis,12-05-1961,M,1502841600,F,30000,"Insert into Customer values('VP-21730','Victor Preis',22413,'M',1502841600,'F',30000)"
SS-20410,Shahid Shariari,12-04-1971,S,1505692800,F,10000,"Insert into Customer values('SS-20410','Shahid Shariari',26035,'S',1505692800,'F',10000)"
JE-15715,Joe Elijah,19-09-1980,S,1537056000,M,20000,"Insert into Customer values('JE-15715','Joe Elijah',29483,'S',1537056000,'M',20000)"
AG-270,Alejandro Grove,10-01-1966,M,1480550400,M,30000,"Insert into Customer values('AG-270','Alejandro Grove',24117,'M',1480550400,'M',30000)"
BW-11200,Ben Wallace,28-02-1966,M,1558051200,F,40000,"Insert into Customer values('BW-11200','Ben Wallace',24166,'M',1558051200,'F',40000)"
EK-13795,Eileen Kiefer,26-08-1951,S,1508976000,F,30000,"Insert into Customer values('EK-13795','Eileen Kiefer',18866,'S',1508976000,'F',30000)"
